AreaName,SecurityLevelRequired
Area1,5
Area2,4
Area3,1
Area4,1
Area5,5
Area6,1
Area7,4
Area8,2
Area9,5
Area10,5
Area11,2
Area12,2
Area13,2
Area14,4
Area15,3
Area16,1
Area17,1
Area18,2
Area19,2
Area20,4
Area21,3
Area22,1
Area23,1
Area24,5
Area25,4
Area26,5
Area27,5
Area28,4
Area29,3
Area30,4
Area31,2
Area32,5
Area33,5
Area34,2
Area35,2
Area36,5
Area37,3
Area38,4
Area39,4
Area40,3
Area41,5
Area42,1
Area43,2
Area44,5
Area45,3
Area46,1
Area47,3
Area48,3
Area49,2
Area50,3
Area51,4
Area52,4
Area53,2
Area54,3
Area55,3
Area56,3
Area57,2
Area58,3
Area59,1
Area60,4
Area61,1
Area62,5
Area63,3
Area64,3
Area65,4
Area66,5
Area67,1
Area68,1
Area69,3
Area70,1
Area71,4
Area72,5
Area73,2
Area74,1
Area75,5
Area76,2
Area77,5
Area78,4
Area79,5
Area80,3
Area81,5
Area82,2
Area83,2
Area84,3
Area85,1
Area86,1
Area87,3
Area88,2
Area89,5
Area90,2
Area91,2
Area92,3
Area93,1
Area94,4
Area95,1
Area96,1
Area97,2
Area98,3
Area99,5
Area100,2
Area101,1
Area102,3
Area103,3
Area104,5
Area105,2
Area106,1
Area107,1
Area108,4
Area109,2
Area110,4
Area111,5
Area112,2
Area113,3
Area114,3
Area115,2
Area116,1
Area117,3
Area118,1
Area119,5
Area120,2
Area121,2
Area122,4
Area123,2
Area124,1
Area125,5
Area126,3
Area127,3
Area128,1
Area129,4
Area130,2
Area131,5
Area132,2
Area133,5
Area134,1
Area135,3
Area136,2
Area137,3
Area138,2
Area139,5
Area140,5
Area141,3
Area142,4
Area143,4
Area144,3
Area145,5
Area146,5
Area147,2
Area148,4
Area149,1
Area150,3
Area151,5
Area152,2
Area153,5
Area154,1
Area155,5
Area156,5
Area157,3
Area158,5
Area159,3
Area160,1
Area161,1
Area162,5
Area163,4
Area164,2
Area165,1
Area166,2
Area167,3
Area168,3
Area169,5
Area170,2
Area171,2
Area172,3
Area173,1
Area174,4
Area175,4
Area176,1
Area177,5
Area178,2
Area179,5
Area180,3
Area181,2
Area182,1
Area183,5
Area184,3
Area185,1
Area186,4
Area187,1
Area188,1
Area189,3
Area190,5
Area191,3
Area192,4
Area193,5
Area194,3
Area195,3
Area196,4
Area197,4
Area198,3
Area199,3
Area200,5
Area201,3
Area202,4
Area203,2
Area204,4
Area205,1
Area206,1
Area207,5
Area208,5
Area209,5
Area210,3
Area211,4
Area212,4
Area213,3
Area214,2
Area215,3
Area216,4
Area217,1
Area218,5
Area219,4
Area220,2
Area221,2
Area222,5
Area223,1
Area224,1
Area225,4
Area226,1
Area227,2
Area228,5
Area229,3
Area230,1
Area231,4
Area232,2
Area233,3
Area234,4
Area235,3
Area236,4
Area237,3
Area238,3
Area239,1
Area240,4
Area241,5
Area242,4
Area243,5
Area244,3
Area245,4
Area246,3
Area247,4
Area248,1
Area249,1
Area250,4
Area251,1
Area252,4
Area253,1
Area254,3
Area255,2
Area256,4
Area257,2
Area258,3
Area259,4
Area260,2
Area261,4
Area262,2
Area263,4
Area264,3
Area265,3
Area266,5
Area267,1
Area268,2
Area269,1
Area270,2
Area271,1
Area272,5
Area273,1
Area274,3
Area275,1
Area276,3
Area277,4
Area278,3
Area279,3
Area280,4
Area281,2
Area282,4
Area283,4
Area284,3
Area285,4
Area286,5
Area287,4
Area288,5
Area289,2
Area290,2
Area291,1
Area292,5
Area293,5
Area294,1
Area295,1
Area296,4
Area297,1
Area298,3
Area299,3
Area300,4
Area301,4
Area302,3
Area303,2
Area304,4
Area305,5
Area306,5
Area307,4
Area308,4
Area309,1
Area310,2
Area311,2
Area312,1
Area313,5
Area314,2
Area315,5
Area316,4
Area317,3
Area318,1
Area319,1
Area320,1
Area321,1
Area322,2
Area323,2
Area324,2
Area325,4
Area326,3
Area327,4
Area328,4
Area329,5
Area330,3
Area331,4
Area332,5
Area333,5
Area334,4
Area335,5
Area336,3
Area337,5
Area338,1
Area339,5
Area340,4
Area341,3
Area342,1
Area343,5
Area344,3
Area345,3
Area346,1
Area347,5
Area348,5
Area349,5
Area350,4
Area351,5
Area352,1
Area353,4
Area354,1
Area355,4
Area356,2
Area357,1
Area358,5
Area359,3
Area360,5
Area361,1
Area362,3
Area363,4
Area364,4
Area365,4
Area366,2
Area367,2
Area368,5
Area369,3
Area370,2
Area371,5
Area372,3
Area373,4
Area374,5
Area375,2
Area376,3
Area377,1
Area378,5
Area379,1
Area380,4
Area381,3
Area382,3
Area383,3
Area384,2
Area385,5
Area386,5
Area387,3
Area388,3
Area389,2
Area390,2
Area391,5
Area392,4
Area393,4
Area394,4
Area395,1
Area396,3
Area397,4
Area398,1
Area399,3
Area400,2
